run	rep	trueqtl	NotSig	Sig	analysis	TBV_PVE	RAND_PVE
5	rep10	FALSE	45074	0	random	0.814527	0.917872
5	rep10	TRUE	462	0	random	0.814527	0.917872
5	rep2	FALSE	45180	0	random	0.811192	0.921208
5	rep2	TRUE	451	0	random	0.811192	0.921208
5	rep3	FALSE	45179	0	random	0.81273	0.924722
5	rep3	TRUE	458	0	random	0.81273	0.924722
5	rep4	FALSE	45325	1	random	0.820769	0.921207
5	rep4	TRUE	457	0	random	0.820769	0.921207
5	rep5	FALSE	45567	0	random	0.809256	0.917542
5	rep5	TRUE	460	0	random	0.809256	0.917542
5	rep6	FALSE	45134	0	random	0.810862	0.922112
5	rep6	TRUE	461	0	random	0.810862	0.922112
5	rep7	FALSE	45068	0	random	0.826613	0.921187
5	rep7	TRUE	440	0	random	0.826613	0.921187
5	rep8	FALSE	44636	1	random	0.802887	0.92254
5	rep8	TRUE	443	0	random	0.802887	0.92254
5	rep9	FALSE	45040	0	random	0.816171	0.918397
5	rep9	TRUE	463	0	random	0.816171	0.918397
6	rep1	FALSE	45136	0	random	0.828447	0.922043
6	rep1	TRUE	182	0	random	0.828447	0.922043
6	rep10	FALSE	45236	0	random	0.810039	0.922089
6	rep10	TRUE	183	0	random	0.810039	0.922089
6	rep2	FALSE	45420	0	random	0.841724	0.922795
6	rep2	TRUE	179	0	random	0.841724	0.922795
6	rep3	FALSE	44877	0	random	0.829557	0.920265
6	rep3	TRUE	179	0	random	0.829557	0.920265
6	rep4	FALSE	44606	0	random	0.824025	0.923427
6	rep4	TRUE	183	0	random	0.824025	0.923427
6	rep5	FALSE	45669	0	random	0.837359	0.920538
6	rep5	TRUE	187	0	random	0.837359	0.920538
6	rep6	FALSE	45428	0	random	0.844393	0.918485
6	rep6	TRUE	184	0	random	0.844393	0.918485
6	rep7	FALSE	45303	2	random	0.817948	0.915317
6	rep7	TRUE	188	0	random	0.817948	0.915317
6	rep8	FALSE	45367	0	random	0.82834	0.922563
6	rep8	TRUE	172	0	random	0.82834	0.922563
6	rep9	FALSE	45461	1	random	0.839322	0.914854
6	rep9	TRUE	184	0	random	0.839322	0.914854
7	rep1	FALSE	44556	0	random	0.812671	0.930525
7	rep1	TRUE	922	0	random	0.812671	0.930525
7	rep10	FALSE	44731	0	random	0.823927	0.926194
7	rep10	TRUE	914	0	random	0.823927	0.926194
7	rep2	FALSE	44918	1	random	0.830217	0.921181
7	rep2	TRUE	913	0	random	0.830217	0.921181
7	rep3	FALSE	44195	0	random	0.821423	0.925324
7	rep3	TRUE	914	0	random	0.821423	0.925324
7	rep4	FALSE	44263	0	random	0.819915	0.924737
7	rep4	TRUE	888	0	random	0.819915	0.924737
7	rep5	FALSE	44697	0	random	0.810971	0.930409
7	rep5	TRUE	900	0	random	0.810971	0.930409
7	rep6	FALSE	44840	1	random	0.826153	0.931987
7	rep6	TRUE	918	0	random	0.826153	0.931987
7	rep7	FALSE	44623	0	random	0.811814	0.928824
